id;name;surname;nationalid;dateofbirth;status;gender
1;platforms payment;open-source;27509;2022-04-11T00:22:16;BUSY;Tennessee Savings well-modulated
2;Associate Metal;Movies;59090;2022-04-11T01:55:52;ONLINE;Island Garden
3;cross-media;Berkshire Electronics Chicken;62584;2022-04-10T18:27:26;OFFLINE;best-of-breed Producer
4;lavender Tunisia;Falls Chips platforms;35778;2022-04-10T23:19:22;ONLINE;bandwidth redundant
5;Borders Checking;bus pink functionalities;6762;2022-04-10T21:18:40;ONLINE;tan
6;connect;wireless Thailand Berkshire;49714;2022-04-11T01:16:16;OFFLINE;blue Future
7;index;drive Horizontal;56484;2022-04-10T15:59:38;OFFLINE;mission-critical Quality-focused Soft
8;leading-edge;El transmit Metal;2513;2022-04-10T13:40:46;OFFLINE;navigate Cotton calculating
9;transparent;back-end task-force Cotton;74707;2022-04-10T10:40:49;BUSY;Regional
10;applications;salmon;28433;2022-04-11T02:13:16;BUSY;Handcrafted Granite Technician
